"FSC.A","SSC.A","FL1.A","FL2.A","FL3.A","FL4.A","FSC.H","SSC.H","FL1.H","FL2.H","FL3.H","FL4.H","Width","Time","Species","Media","Temp","Rep","Time_point","hours"
14314.7195839527,1899.12199338838,20662.4009167315,3993.92380549109,1640.45299426666,458.384507036944,15711.5587312517,6124.7660914897,18404.6205565977,3596.61891185883,1589.33358672448,342.115501130208,60.5625409142939,354.329598640985,"Amac","noB12","med","2","2",6
13046.6877921374,1807.49212873702,13027.8013823297,2474.54198245496,1033.29891750176,450.100386818869,14376.7658088677,6028.84501038894,11705.8269610439,2246.75281800794,1037.54139556496,276.502291954101,55.4479578320085,353.803937998871,"Amac","noB12","med","3","2",6
16132.8466909274,2033.75449098877,26871.395710344,5234.36325822759,2142.54427615255,468.408688509406,17519.774331775,6223.96065235725,23774.7030816592,4684.37534063266,2039.67250271775,385.419726470144,63.3595703762925,355.168259129444,"Rpom","full","hot","1","2",6
14444.884643033,2032.32732397916,52126.3151921052,10326.4870791812,4230.5422885956,505.737817008543,15603.2509808763,6206.39165866148,45532.7589596989,9065.13289121564,3860.73375461825,531.881722587224,70.4777944525675,354.74061142896,"Rpom","full","hot","2","2",6
16288.7642737793,2036.55189256928,30503.8982382064,5969.80762676464,2440.64487862303,474.304390599337,17571.5825643436,6211.10861149877,26782.9294974035,5299.72078788224,2295.174957041,411.487226225399,64.8953521213675,354.629878575566,"Rpom","full","hot","3","2",6
17199.9678762554,2038.9110915622,29567.5989296972,5818.9566468734,2398.35100065978,472.243533465288,18735.9192595851,6206.39525841214,26258.1972201451,5208.47539916428,2264.86758448794,404.864596437211,64.2988109376145,354.693000513159,"Amac","full","hot","1","2",6
17035.4111450717,2010.68171808451,29180.4211480162,5735.70342292576,2361.92070219675,472.381946316425,18525.4026406336,6172.42193874095,25885.587840257,5130.40243604046,2232.90534250685,403.33517881853,64.1775080282062,353.976874066025,"Amac","full","hot","2","2",6
16166.0933698365,1933.50480600208,25433.5842290824,4969.24609598041,2044.77709126542,467.326168587821,17572.7785274559,6106.66355990735,22589.4259987882,4455.55748377429,1950.97013297229,378.126652803439,62.7048242037994,354.855113062602,"Amac","full","hot","3","2",6
15523.8376239554,2074.54283902013,24700.8265701222,4816.63950830662,1980.10174605792,466.665608303855,16832.3005646073,6256.53410933233,21870.5578791661,4306.62743021245,1888.40531965726,372.597437783071,62.3762094643633,354.759414233495,"Rpom","noB12","hot","1","2",6
15077.7330825428,2091.79208334385,20633.2888436476,3991.86899829925,1647.63376973024,461.797326762897,16323.7401644292,6283.16739004198,18257.595556693,3568.22123349453,1587.00585394628,341.702747831595,60.3699427802859,354.417934581778,"Rpom","noB12","hot","2","2",6
15385.7741764428,2076.63717573925,22536.7733626705,4375.19688126613,1801.30814311834,464.322842671056,16715.7542074557,6272.20913835393,19988.8748431853,3918.80922145283,1729.54362405323,356.365250656814,61.1956370781784,354.743983077206,"Rpom","noB12","hot","3","2",6
16484.4197656327,2342.83842208292,18946.7941297264,3731.7462729968,1578.61761082083,458.764391643359,18186.9701929678,6561.5698620117,17140.9441151871,3370.83798740328,1519.84502321789,325.682698850947,58.9020052221513,354.035820600218,"Amac","noB12","hot","1","2",6
16757.5675590533,2350.39620918489,24508.419704888,4824.72483212667,2011.85885701749,466.274723461388,18206.8930242326,6534.94579299404,21731.9946258033,4287.7403115384,1895.04857403772,366.093853426566,61.7374631766266,354.897440224719,"Amac","noB12","hot","2","2",6
16860.0738827153,2277.61087253919,27095.11431273,5350.32800143387,2225.18174303,470.288425522887,18315.6648401893,6456.70720885488,23986.5616618993,4748.70208789038,2085.67269538308,385.261926360531,62.9199794429854,353.242942213573,"Amac","noB12","hot","3","2",6
18901.0807534127,2372.98918883444,106611.674886244,21406.2412320616,8704.07433059153,552.317098354918,21055.7847786139,6625.36761900595,95292.6607017851,19043.9731536577,7895.02928771439,738.857669758488,78.4485430521526,355.849514350717,"Rpom","full","cold","1","3",12
17784.4427092943,2328.09688511666,118381.811966385,23940.5377526544,9855.21868259054,572.131626884949,19591.031407149,6561.46741030243,103735.738369928,20893.5268933358,8766.43749601624,788.245788952815,80.2091920089907,355.391257527216,"Rpom","full","cold","2","3",12
17577.2581047004,2314.97449749776,112259.488479322,22665.0481632229,9317.21245452933,561.550656810544,19541.3750416319,6554.04880338073,99530.604486295,20000.5318759651,8376.97191091426,767.126573901459,79.371775962075,353.468811771983,"Rpom","full","cold","3","3",12
16693.0988823452,2031.91577370932,100347.98492269,20102.1810189416,8110.71747664435,556.181874721167,18059.8491953848,6266.72836959064,85862.8027826104,17178.9067697804,7111.15679009684,720.766942694279,77.928313533756,354.70653062646,"Amac","full","cold","1","3",12
16004.104195122,2040.08720557491,101330.571873016,20334.5875679443,8232.98591560201,559.126854045683,17252.4633124274,6268.80157801007,86049.2509299264,17256.0960387147,7168.76243592722,726.862688346883,78.1892899728997,354.82907936508,"Amac","full","cold","2","3",12
